,id,a
1037,9092736148,Kinyami
1038,9092736151,unnamed
1039,9092736152,unnamed
1040,9092736153,Mugoyi
1041,9092736154,unnamed
1042,9092736191,Yanza
1043,9093964697,Makaba
1044,9094721512,Muramba
1045,9094721513,Ngara
1046,9094721515,Gahongore
1047,9094721619,Bukinga
1048,9094809284,Mugimbu
1049,9094809285,Gitanga
1050,9094809286,Jerama
1051,9094809287,Ruzirasazi
1052,9094809288,Bihembe
1053,9094809289,Bumba
1054,9094824436,Muramba
1055,9094824437,Ngara
1056,9094824438,Gahongore
1057,9094888488,Rutabo
1058,9094944617,Nyakibanda
1059,9094982623,Butaramuka
1060,9095728710,Kibande
1061,9095728711,Gasebeyi
1062,9095743719,Rutorero
1063,9095743814,Gafumbegete
1064,9095743818,Rusenda
1065,9095743819,Nyampinda
